frame_idx,count_ball,count_player,count_goalkeeper,count_referee,mean_player_speed_kmh,ball_observed,ball_interpolated
428,0,24,0,0,nan,0,0
429,1,24,0,0,nan,1,0
430,1,25,0,0,nan,1,0
431,1,26,0,0,nan,1,0
432,0,27,0,0,nan,0,0
433,0,25,0,0,nan,0,0
434,0,26,0,0,nan,0,0
435,0,26,0,0,nan,0,0
436,1,27,0,0,nan,1,0
437,1,25,0,0,nan,1,0
438,1,27,0,0,nan,1,0
439,1,26,0,0,nan,1,0
440,1,26,0,0,nan,1,0
441,1,27,0,0,nan,1,0
442,1,27,0,0,nan,1,0
443,1,27,0,0,nan,1,0
444,1,25,0,0,nan,1,0
445,1,26,0,0,nan,1,0
446,0,26,0,0,nan,0,0
447,0,26,0,0,nan,0,0
448,0,26,0,0,nan,0,0
449,1,26,0,0,nan,1,0
450,0,26,0,0,nan,0,0
451,1,25,0,0,nan,1,0
452,1,26,0,0,nan,1,0
453,1,25,0,0,nan,1,0
454,1,25,0,0,nan,1,0
455,1,25,0,0,nan,1,0
456,1,26,0,0,nan,1,0
457,1,24,0,0,nan,1,0
458,1,26,0,0,nan,1,0
459,1,26,0,0,nan,1,0
460,1,26,0,0,nan,1,0
461,1,26,0,0,nan,1,0
462,1,25,0,0,nan,1,0
463,1,25,0,0,nan,1,0
464,1,23,0,0,nan,1,0
465,1,25,0,0,nan,1,0
466,1,26,0,0,nan,1,0
467,1,25,0,0,nan,1,0
468,1,24,0,0,nan,1,0
469,1,25,0,0,nan,1,0
470,1,25,0,0,nan,1,0
471,1,25,0,0,nan,1,0
472,1,26,0,0,nan,1,0
473,1,25,0,0,nan,1,0
474,1,25,0,0,nan,1,0
475,1,25,0,0,nan,1,0
476,1,25,0,0,nan,1,0
477,1,25,0,0,nan,1,0
478,1,24,0,0,nan,1,0
479,1,25,0,0,nan,1,0
480,1,25,0,0,nan,1,0
481,1,24,0,0,nan,1,0
482,1,23,0,0,nan,1,0
483,1,23,0,0,nan,1,0
484,0,23,0,0,nan,0,0
485,0,24,0,0,nan,0,0
486,1,25,0,0,nan,1,0
487,1,25,0,0,nan,1,0
488,1,24,0,0,nan,1,0
489,0,24,0,0,nan,0,0
490,1,23,0,0,nan,1,0
491,1,23,0,0,nan,1,0
492,1,23,0,0,nan,1,0
493,1,24,0,0,nan,1,0
494,0,24,0,0,nan,0,0
495,1,23,0,0,nan,1,0
496,0,22,0,0,nan,0,0
497,1,23,0,0,nan,1,0
498,1,24,0,0,nan,1,0
499,1,24,0,0,nan,1,0
500,1,24,0,0,nan,1,0
501,1,24,0,0,nan,1,0
502,1,24,0,0,nan,1,0
503,0,25,0,0,nan,0,0
504,1,25,0,0,nan,1,0
505,0,26,0,0,nan,0,0
506,1,25,0,0,nan,1,0
507,0,27,0,0,nan,0,0
508,0,26,0,0,nan,0,0
509,0,25,0,0,nan,0,0
510,1,24,0,0,nan,1,0
511,0,25,0,0,nan,0,0
512,0,27,0,0,nan,0,0
513,0,25,0,0,nan,0,0
514,0,26,0,0,nan,0,0
515,0,25,0,0,nan,0,0
516,0,26,0,0,nan,0,0
517,0,25,0,0,nan,0,0
518,0,25,0,0,nan,0,0
519,0,26,0,0,nan,0,0
520,0,26,0,0,nan,0,0
521,0,26,0,0,nan,0,0
522,0,25,0,0,nan,0,0
523,0,26,0,0,nan,0,0
524,0,25,0,0,nan,0,0
525,0,25,0,0,nan,0,0
526,0,25,0,0,nan,0,0
527,0,24,0,0,nan,0,0
528,0,23,0,0,nan,0,0
529,0,24,0,0,nan,0,0
530,0,25,0,0,nan,0,0
531,0,24,0,0,nan,0,0
532,0,25,0,0,nan,0,0
533,0,25,0,0,nan,0,0
534,1,26,0,0,nan,1,0
535,1,25,0,0,nan,1,0
536,0,26,0,0,nan,0,0
537,1,27,0,0,nan,1,0
538,0,27,0,0,nan,0,0
539,0,27,0,0,nan,0,0
540,0,26,0,0,nan,0,0
541,0,27,0,0,nan,0,0
542,1,26,0,0,nan,1,0
543,0,27,0,0,nan,0,0
544,1,27,0,0,nan,1,0
545,1,26,0,0,nan,1,0
546,1,25,0,0,nan,1,0
547,1,25,0,0,nan,1,0
548,0,24,0,0,nan,0,0
549,0,24,0,0,nan,0,0
550,0,24,0,0,nan,0,0
551,0,23,0,0,nan,0,0
552,0,24,0,0,nan,0,0
553,1,24,0,0,nan,1,0
554,0,23,0,0,nan,0,0
555,0,25,0,0,nan,0,0
556,0,25,0,0,nan,0,0
557,0,24,0,0,nan,0,0
