frame_idx,count_ball,count_player,count_goalkeeper,count_referee,mean_player_speed_kmh,ball_observed,ball_interpolated
344,0,20,0,3,nan,0,0
345,0,21,0,3,nan,0,0
346,1,21,0,3,nan,1,0
347,1,20,0,3,nan,1,0
348,1,20,0,3,nan,1,0
349,1,20,0,3,nan,1,0
350,1,20,0,3,nan,1,0
351,1,20,0,3,nan,1,0
352,1,20,0,3,nan,1,0
353,1,20,0,3,nan,1,0
354,1,20,0,3,nan,1,0
355,1,20,0,3,nan,1,0
356,1,20,0,3,nan,1,0
357,1,20,0,3,nan,1,0
358,1,19,0,3,nan,1,0
359,0,19,0,3,nan,0,0
360,0,19,0,3,nan,0,0
361,0,19,0,3,nan,0,0
362,0,20,0,3,nan,0,0
363,0,20,0,3,nan,0,0
364,0,20,0,3,nan,0,0
365,1,19,0,3,nan,1,0
366,1,20,0,3,nan,1,0
367,1,20,0,3,nan,1,0
368,1,20,0,3,nan,1,0
369,1,20,0,3,nan,1,0
370,1,20,0,3,nan,1,0
371,1,19,0,3,nan,1,0
372,1,19,0,3,nan,1,0
373,0,19,0,3,nan,0,0
374,0,19,0,3,nan,0,0
375,0,19,0,3,nan,0,0
376,1,19,0,3,nan,1,0
377,1,19,0,3,nan,1,0
378,1,19,0,3,nan,1,0
379,1,19,0,3,nan,1,0
380,1,19,0,3,nan,1,0
381,1,19,0,3,nan,1,0
382,1,19,0,3,nan,1,0
383,1,18,0,3,nan,1,0
384,1,19,0,3,nan,1,0
385,1,20,0,3,nan,1,0
386,1,20,0,3,nan,1,0
387,1,20,0,3,nan,1,0
388,1,20,0,3,nan,1,0
389,1,20,0,3,nan,1,0
390,1,19,0,3,nan,1,0
391,1,19,0,3,nan,1,0
392,1,19,0,3,nan,1,0
393,1,18,0,3,nan,1,0
394,1,18,0,3,nan,1,0
395,0,18,0,3,nan,0,0
396,0,18,0,3,nan,0,0
397,1,18,0,3,nan,1,0
398,1,18,0,3,nan,1,0
399,1,18,0,3,nan,1,0
400,1,20,0,3,nan,1,0
401,1,19,0,3,nan,1,0
402,1,20,0,3,nan,1,0
403,1,20,0,3,nan,1,0
404,1,20,0,3,nan,1,0
405,1,20,0,3,nan,1,0
406,1,20,0,3,nan,1,0
407,1,19,0,3,nan,1,0
408,0,19,0,3,nan,0,0
409,1,19,0,3,nan,1,0
410,1,20,0,3,nan,1,0
411,1,20,0,3,nan,1,0
412,1,19,0,3,nan,1,0
413,1,20,0,3,nan,1,0
414,1,20,0,3,nan,1,0
415,1,20,0,3,nan,1,0
416,1,20,0,3,nan,1,0
417,1,20,0,3,nan,1,0
418,1,20,0,3,nan,1,0
419,0,20,0,2,nan,0,0
420,0,20,0,2,nan,0,0
421,0,20,0,3,nan,0,0
422,0,20,0,3,nan,0,0
423,0,20,0,3,nan,0,0
424,1,20,0,3,nan,1,0
425,1,20,0,3,nan,1,0
426,1,20,0,3,nan,1,0
427,1,20,0,3,nan,1,0
428,1,20,0,3,nan,1,0
429,1,20,0,3,nan,1,0
430,1,20,0,3,nan,1,0
431,1,20,0,3,nan,1,0
432,1,20,0,3,nan,1,0
433,1,20,0,3,nan,1,0
434,1,20,0,3,nan,1,0
435,1,20,0,3,nan,1,0
436,1,20,0,3,nan,1,0
437,1,20,0,3,nan,1,0
438,1,20,0,3,nan,1,0
439,1,20,0,3,nan,1,0
440,1,20,0,3,nan,1,0
441,1,20,0,3,nan,1,0
442,1,20,0,3,nan,1,0
443,1,20,0,3,nan,1,0
444,1,20,0,3,nan,1,0
445,1,20,0,3,nan,1,0
446,0,20,0,3,nan,0,0
447,0,20,0,3,nan,0,0
448,1,20,0,3,nan,1,0
449,1,20,0,3,nan,1,0
450,1,20,0,3,nan,1,0
451,1,20,0,3,nan,1,0
452,1,20,1,3,nan,1,0
453,1,20,1,3,nan,1,0
454,1,20,0,3,nan,1,0
455,1,20,0,3,nan,1,0
456,1,20,0,3,nan,1,0
457,1,20,0,3,nan,1,0
458,1,20,0,3,nan,1,0
459,1,20,0,3,nan,1,0
460,1,20,0,3,nan,1,0
461,1,20,0,3,nan,1,0
462,1,21,0,2,nan,1,0
463,1,20,0,3,nan,1,0
464,1,20,0,3,nan,1,0
465,1,20,0,3,nan,1,0
466,1,20,0,3,nan,1,0
467,1,20,0,3,nan,1,0
468,1,20,0,3,nan,1,0
469,1,20,0,3,nan,1,0
470,1,20,0,3,nan,1,0
471,1,20,0,3,nan,1,0
472,1,20,0,3,nan,1,0
473,1,20,0,3,nan,1,0
474,1,20,0,3,nan,1,0
475,1,20,0,3,nan,1,0
476,1,20,0,3,nan,1,0
477,1,20,0,3,nan,1,0
478,1,20,0,3,nan,1,0
479,1,20,0,3,nan,1,0
480,1,20,0,3,nan,1,0
481,0,20,0,3,nan,0,0
482,0,20,0,3,nan,0,0
483,0,20,0,3,nan,0,0
484,0,20,0,3,nan,0,0
485,0,20,0,3,nan,0,0
486,0,20,0,3,nan,0,0
487,0,20,0,3,nan,0,0
488,1,20,0,3,nan,1,0
489,1,20,0,2,nan,1,0
490,1,20,0,3,nan,1,0
491,1,20,0,3,nan,1,0
492,1,20,0,3,nan,1,0
493,1,20,0,3,nan,1,0
494,1,20,1,3,nan,1,0
495,1,20,1,3,nan,1,0
496,1,20,1,3,nan,1,0
497,1,20,1,3,nan,1,0
498,1,20,1,3,nan,1,0
499,1,20,1,3,nan,1,0
500,1,20,1,3,nan,1,0
501,1,20,1,3,nan,1,0
